Reference, Quantity, Value, Footprint,MPN,"Price (1, no bulk adj)","Price (total, no bulk adj)",Link,,,,,
L1 L2 L3 L4 ,4,2.2uH,Capacitors_SMD:C_1812,LQH43PN2R2M26L,0.42,1.68,http://www.digikey.com/product-detail/en/murata-electronics-north-america/LQH43PN2R2M26L/490-12049-1-ND/5403098,,,,,
MIC1 ,1,MEMSMIC,DFTcustom:WM7121PE,WM7121PE,1.79,1.79,http://www.digikey.com/product-detail/en/cirrus-logic-inc/WM7121PIMSE-RV/WM7121PIMSE-RVCT-ND/5036747,,,,,
NCP1 NCP2 ,2,NCP361,DFTcustom:TSOP-5,NCP361,0.7,1.4,http://www.digikey.com/product-detail/en/on-semiconductor/NCP361SNT1G/NCP361SNT1GOSCT-ND/1894072,,,,,
Q1 Q2 Q3 Q4 Q5 Q6 ,6,IRLML2502,TO_SOT_Packages_SMD:SOT-23,IRLML2502,0.48,2.88,http://www.digikey.com/product-detail/en/infineon-technologies/IRLML2502TRPBF/IRLML2502PBFCT-ND/812502,,,,,
R1 R4 R50 R60 R62 R68 R69 R75 ,8,1k,Resistors_SMD:R_0402,RC0402JR-071KL ,0.1,0.8,http://www.digikey.com/product-detail/en/yageo/RC0402JR-071KL/311-1.0KJRCT-ND/729355,,,,,
R101 ,1,649,Resistors_SMD:R_0402," 	
RC0402FR-07649RL",0.1,0.1,http://www.digikey.com/product-detail/en/yageo/RC0402FR-07649RL/YAG3206CT-ND/5282071,,,,,
R109 R110 ,2,100,Resistors_SMD:R_0402,RC0402FR-07100RL,0.1,0.2,http://www.digikey.com/product-detail/en/yageo/RC0402FR-07100RL/311-100LRCT-ND/729474,,,,,
R2 R3 R33 R61 R63 ,5,150,Resistors_SMD:R_0402,RC0402JR-07150RL,0.1,0.5,http://www.digikey.com/product-detail/en/yageo/RC0402JR-07150RL/311-150JRCT-ND/729371,,,,,
R10 R11 R12 R13 R14 R15 R16 R17 R18 R19 R20 R21 R22 R23 R24 R25 R26 R27 R28 R29 R30 R31 R6 R7 R8 R9 ,26,22,Resistors_SMD:R_0201,RC0201JR-0722RL,0.1,2.6,http://www.digikey.com/product-detail/en/yageo/RC0201JR-0722RL/311-22NCT-ND/1949037,,,,,
R100 R104 R32 R44 R45 R48 R54 R55 R56 R57 R58 R59 R79 R80 R81 R82 R83 R84 R85 R86 R87 R88 R89 R90 R91 R92 R93 R94 R95 R96 R97 R98 R99 ,33,10k,Resistors_SMD:R_0402,RC0402JR-0710KL,0.1,3.3,http://www.digikey.com/product-detail/en/yageo/RC0402JR-0710KL/311-10KJRCT-ND/729365,,,,,
R34 R37 R38 R39 R43 R78 ,6,100k,Resistors_SMD:R_0603,RC0603JR-07100KL,0.1,0.6,http://www.digikey.com/product-detail/en/yageo/RC0603JR-07100KL/311-100KGRCT-ND/729645,,,,,
R105 R106 R107 R108 R35 R40 R41 R42 R51 ,9,49.9k,Resistors_SMD:R_0402,RC0402FR-0749K9L,0.1,0.9,http://www.digikey.com/product-detail/en/yageo/RC0402FR-0749K9L/311-49.9KLRCT-ND/729567,,,,,
R49 ,1,37.5,Resistors_SMD:R_0402,RC0402JR-0739RL,0.1,0.1,http://www.digikey.com/product-detail/en/yageo/RC0402JR-0739RL/311-39JRCT-ND/729419,,,,,
R103 R36 R46 R47 R5 R70 R71 ,7,4.7k,Resistors_SMD:R_0402,RC0402JR-074K7L,0.1,0.7,http://www.digikey.com/product-detail/en/yageo/RC0402JR-074K7L/311-4.7KJRCT-ND/729424,,,,,
R52 ,1,6.04k 1%,Resistors_SMD:R_0402,RMCF0402FT6K04,0.1,0.1,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/RMCF0402FT6K04/RMCF0402FT6K04CT-ND/5049727,,,,,
R53 ,1,200 1%,Resistors_SMD:R_0402,ERJ-2RKF2000X,0.1,0.1,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-2RKF2000X/P200LCT-ND/194253,,,,,
R65 R66 ,2,33,Resistors_SMD:R_0402,RC0402JR-0733RL,0.1,0.2,http://www.digikey.com/product-detail/en/yageo/RC0402JR-0733RL/311-33JRCT-ND/729414,,,,,
R102 R64 R67 ,3,20k,Resistors_SMD:R_0603,RC0603FR-0720KL,0.1,0.3,http://www.digikey.com/product-detail/en/yageo/RC0603FR-0720KL/311-20.0KHRCT-ND/729987,,,,,
R72 ,1,27k,Resistors_SMD:R_0402,RC0402JR-0727KL,0.1,0.1,http://www.digikey.com/product-detail/en/yageo/RC0402JR-0727KL/311-27KJRCT-ND/729398,,,,,
R73 ,1,1MEG,Resistors_SMD:R_0402,HMC0402JT100M,0.36,0.36,http://www.digikey.com/product-detail/en/stackpole-electronics-inc/HMC0402JT100M/HMC0402JT100MCT-ND/2683714,,,,,
R74 ,1,200k,Resistors_SMD:R_0402,ERJ-1GEF2003C,0.1,0.1,http://www.digikey.com/product-detail/en/panasonic-electronic-components/ERJ-1GEF2003C/P200KABCT-ND/525115,,,,,
R76 R77 ,2,1.5k,Resistors_SMD:R_0402,RC0402JR-071K5L,0.1,0.2,http://www.digikey.com/product-detail/en/yageo/RC0402JR-071K5L/311-1.5KJRCT-ND/729359,,,,,
ROT0 ROT1 ROT2 ROT4 ,4,ROTARY-ENCODER,DFTcustom:rightangleencoders,ACZ11BR4E-15FA1-20C,3.48,13.92,http://www.digikey.com/products/en?keywords=ACZ11BR4E-15FA1-20C,,,,,
RV1 ,1,10k,DFTcustom:TC33X-2-103E,TC33X-2-103E,0.28,0.28,http://www.digikey.com/product-detail/en/bourns-inc/TC33X-2-103E/TC33X-103ECT-ND/612911,,,,,
SW1 ,1,TL6215RF200BDT,DFTcustom:tl6215_right_angle,TL6215RF200BDT,4.18,4.18,http://www.digikey.com/product-detail/en/e-switch/TL6215RF200BDT/EG5162-ND/5181932,,,,,
U1 ,1,xc7a50tftg256,SMD_Packages:BGA-256, XC7A50T-1FTG256C ,53.2,53.2,http://www.digikey.com/product-detail/en/xilinx-inc/XC7A50T-1FTG256C/122-1916-ND/5039080,,,,,
U10 ,1,WM8731,Housings_SSOP:SSOP-28_5.3x10.2mm_Pitch0.65mm,WM8731SEDS/RV,4.38,4.38,http://www.digikey.com/product-detail/en/cirrus-logic-inc/WM8731SEDS-RV/WM8731SEDS-RVCT-ND/5036760,,,,,
U11 ,1,FPF1321,DFTcustom:FPF1321,FPF1321UCX,0.85,0.85,http://www.digikey.com/product-detail/en/fairchild-on-semiconductor/FPF1321UCX/FPF1321UCXCT-ND/3908033,,,,,
U12 ,1,GTL2002,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,GTL2002DP,0.81,0.81,"http://www.digikey.com/product-detail/en/nxp-usa-inc/GTL2002DP,118/568-1870-1-ND/805395",,,568-4224-5-ND,0.8,
U14 ,1,W9751G6KB,DFTcustom:WBGA-84,W9751G6KB-25 ,2.58,2.58,http://www.digikey.com/product-detail/en/winbond-electronics/W9751G6KB-25/W9751G6KB-25-ND/2815952,,,,,Winbond
U15 ,1,CY7C65634-28LTXC,DFTcustom:QFN-28-1EP_5x5mm_Pitch0.5mm,CY7C65634-28LTXCT ,2.65,2.65,http://www.digikey.com/product-detail/en/cypress-semiconductor-corp/CY7C65634-28LTXCT/428-3154-1-ND/3131116,,,,,
U2 ,1,M24M02-DR,Housings_SOIC:SOIC-8_3.9x4.9mm_Pitch1.27mm,M24M02-DRMN6TP,2.78,2.78,http://www.digikey.com/product-detail/en/stmicroelectronics/M24M02-DRMN6TP/497-11600-1-ND/2747126,,,,,
